City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,79.14,80,14,23.87,MU,1710617215
1,novodvinsk,64.4165,40.8122,32.79,99,100,8.66,RU,1710617215
2,waitangi,-43.9535,-176.5597,56.82,80,69,14.0,NZ,1710616996
3,fort bragg,35.139,-79.006,74.64,51,75,4.61,US,1710617020
4,pailon,-17.65,-62.75,95.9,41,92,15.5,BO,1710617217
5,tiksi,71.6872,128.8694,-18.89,97,92,4.76,RU,1710617021
6,almeirim,-1.5233,-52.5817,81.84,80,84,8.32,BR,1710617217
7,port alfred,-33.5906,26.891,64.18,97,100,1.99,ZA,1710617218
8,sao joao da barra,-21.6403,-41.0511,89.69,81,7,11.99,BR,1710617099
9,copiapo,-27.3667,-70.3333,67.69,32,0,8.43,CL,1710617219
10,olonkinbyen,70.9221,-8.7187,10.69,59,100,10.85,SJ,1710617122
11,kiama,-34.6833,150.8667,65.37,95,100,6.35,AU,1710617201
12,albany,42.6001,-73.9662,56.95,49,100,3.0,US,1710617175
13,bouar,5.934,15.596,78.4,44,39,1.07,CF,1710617220
14,lensk,60.7253,114.9278,-2.0,98,100,3.51,RU,1710617220
15,zhangatas,43.5667,69.75,30.67,64,0,14.03,KZ,1710617221
16,iqaluit,63.7506,-68.5145,8.33,78,75,0.0,CA,1710617009
17,charikar,35.0136,69.1714,45.39,41,100,5.32,AF,1710617222
18,susuman,62.7833,148.1667,-4.02,99,99,4.0,RU,1710617223
19,lihue,21.9789,-159.3672,74.44,72,100,9.22,US,1710617223
20,pennadam,11.4,79.2333,74.7,94,0,2.42,IN,1710617224
21,zhalantun,48.0,122.7167,12.36,94,11,5.48,CN,1710617224
22,kelme,55.6339,22.9342,46.42,96,100,6.24,LT,1710617225
23,puerto natales,-51.7236,-72.4875,46.85,66,75,25.32,CL,1710617015
24,funtua,11.5233,7.3081,86.5,14,0,9.24,NG,1710617226
25,ust-nera,64.5667,143.2,-4.23,97,100,3.85,RU,1710617226
26,prince rupert,54.3161,-130.3201,50.09,71,0,3.44,CA,1710616942
27,gharyan,32.1722,13.0203,53.92,67,0,6.17,LY,1710617227
28,utrik,11.2278,169.8474,80.24,71,100,14.09,MH,1710617228
29,dakhla,23.6848,-15.958,68.02,83,0,14.97,EH,1710617228
30,lagoa,39.05,-27.9833,59.47,76,0,23.38,PT,1710617229
31,kununurra,-15.7667,128.7333,78.78,94,100,4.61,AU,1710617193
32,san patricio,28.017,-97.5169,87.75,51,99,7.99,US,1710617229
33,borogontsy,62.6683,131.1683,-19.95,100,100,2.62,RU,1710617230
34,ribeira grande,38.5167,-28.7,63.0,67,40,19.57,PT,1710617230
